epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5869.19,0.92654,0.61902,1.18876,0.9661,0.89008,0.93914,0.77361,0.73403,0.46483,1.03756,0.000324053,0.000324053,0.000324053
71,5957.52,0.94923,0.61466,1.18971,0.97462,0.8785,0.94281,0.75476,0.82564,0.49627,1.04213,0.000305872,0.000305872,0.000305872
72,6039.25,0.90416,0.57981,1.17236,0.95719,0.88324,0.93186,0.73647,0.82516,0.49965,1.0484,0.000288102,0.000288102,0.000288102
73,6120.09,0.92832,0.61226,1.19077,0.96415,0.89989,0.94519,0.76516,0.78527,0.44998,1.03322,0.00027076,0.00027076,0.00027076
74,6202.29,0.8953,0.56991,1.15338,0.96044,0.90191,0.9491,0.74593,0.85815,0.46491,1.05434,0.000253863,0.000253863,0.000253863
75,6283.73,0.92645,0.59639,1.18529,0.9752,0.8875,0.94425,0.77527,0.74852,0.44452,1.02837,0.000237427,0.000237427,0.000237427
76,6375.67,0.9127,0.58992,1.18893,0.95971,0.89613,0.94547,0.74703,0.85844,0.45795,1.05001,0.000221469,0.000221469,0.000221469
77,6456.92,0.89994,0.5656,1.17039,0.93494,0.89658,0.93836,0.77524,0.72854,0.44462,1.01282,0.000206005,0.000206005,0.000206005
78,6539.13,0.89127,0.5722,1.16586,0.97353,0.89433,0.94492,0.75764,0.80098,0.43907,1.02995,0.00019105,0.00019105,0.00019105
79,6620.59,0.86972,0.54618,1.15415,0.94657,0.89701,0.93854,0.76654,0.72898,0.43493,1.01632,0.000176619,0.000176619,0.000176619
80,6701.54,0.89861,0.57725,1.16423,0.95181,0.91013,0.94265,0.74829,0.82136,0.45702,1.03995,0.000162725,0.000162725,0.000162725
81,6782.45,0.87317,0.54796,1.16358,0.95639,0.88769,0.93387,0.73704,0.8293,0.46917,1.05368,0.000149383,0.000149383,0.000149383
82,6865.72,0.84647,0.52545,1.13306,0.9679,0.88769,0.93693,0.73543,0.84362,0.46733,1.06577,0.000136605,0.000136605,0.000136605
83,6947.01,0.83531,0.52921,1.12186,0.98145,0.85932,0.94301,0.77196,0.74673,0.4349,1.02659,0.000124405,0.000124405,0.000124405
84,7029.46,0.8532,0.52994,1.13344,0.97286,0.87548,0.94475,0.77567,0.73312,0.41893,1.01097,0.000112795,0.000112795,0.000112795
85,7119.8,0.8666,0.5386,1.14796,0.97349,0.87195,0.94396,0.76896,0.74949,0.42962,1.02109,0.000101785,0.000101785,0.000101785
86,7201.12,0.85915,0.52882,1.14693,0.96344,0.90118,0.94998,0.76655,0.74887,0.42832,1.01461,9.13871e-05,9.13871e-05,9.13871e-05
87,7283.01,0.85969,0.52406,1.14909,0.94638,0.89776,0.94258,0.7594,0.77239,0.43191,1.02092,8.16111e-05,8.16111e-05,8.16111e-05
88,7362.7,0.84633,0.51702,1.14718,0.96793,0.89613,0.94317,0.76767,0.74948,0.43332,1.01069,7.24667e-05,7.24667e-05,7.24667e-05
89,7443.95,0.83503,0.52504,1.12798,0.94544,0.90633,0.9403,0.75858,0.76733,0.446,1.01627,6.3963e-05,6.3963e-05,6.3963e-05
90,7525.5,0.84494,0.51087,1.12495,0.95046,0.90342,0.9433,0.77767,0.73127,0.42759,1.00851,5.61083e-05,5.61083e-05,5.61083e-05
91,7613.8,0.70163,0.41326,1.04538,0.98136,0.87428,0.94768,0.77132,0.72926,0.42052,1.00941,4.89104e-05,4.89104e-05,4.89104e-05
92,7692.36,0.7029,0.39783,1.05732,0.98402,0.8785,0.94613,0.779,0.71863,0.41082,1.01499,4.23765e-05,4.23765e-05,4.23765e-05
93,7773.16,0.69602,0.37824,1.03682,0.97131,0.88264,0.94528,0.7825,0.71774,0.41116,1.01643,3.65129e-05,3.65129e-05,3.65129e-05
94,7855.45,0.68249,0.3712,1.04113,0.98336,0.87006,0.94467,0.78264,0.70361,0.42154,1.00853,3.13254e-05,3.13254e-05,3.13254e-05
95,7940.83,0.68104,0.35309,1.0186,0.98891,0.88012,0.94574,0.7903,0.69808,0.40817,1.00476,2.68192e-05,2.68192e-05,2.68192e-05
96,8029.49,0.68103,0.37452,1.03935,0.98573,0.87428,0.94657,0.7892,0.69907,0.4148,1.00669,2.29987e-05,2.29987e-05,2.29987e-05
97,8105.14,0.69163,0.37502,1.03533,0.94447,0.90647,0.94601,0.78029,0.71261,0.41693,1.00736,1.98677e-05,1.98677e-05,1.98677e-05
98,8181.86,0.6759,0.36177,1.02958,0.97816,0.88588,0.94884,0.77717,0.73325,0.4145,1.01599,1.74293e-05,1.74293e-05,1.74293e-05
99,8259.08,0.65725,0.3572,1.01932,0.98163,0.88621,0.94873,0.7775,0.73015,0.40858,1.01354,1.56858e-05,1.56858e-05,1.56858e-05
100,8335.82,0.67195,0.3568,1.03473,0.97797,0.88564,0.94725,0.78276,0.72234,0.40768,1.00922,1.4639e-05,1.4639e-05,1.4639e-05
